question;answer;tags
"Why might precision fall when you raise a classification threshold?";"Although it often rises, removing some predicted positives can remove more true positives than false positives. The remaining set may therefore have lower precision.";metrics precision-recall
"Why does recall not increase when the classification threshold increases?";"Increasing the threshold can only turn predicted positives into negatives, so true positives and therefore recall can only stay the same or decrease.";metrics precision-recall
"What does the F1 score emphasize?";"F1 is the harmonic mean of precision and recall, so it is high only when both are reasonably high and penalizes an imbalance between them.";metrics classification
"What is the difference between a regression tree's split criterion and its final prediction?";"The split criterion minimizes within-child target MSE. Once a leaf is formed, its prediction is the mean target of training samples in that leaf.";trees regression
"How does increasing min_samples_leaf regularize a decision tree?";"It prevents very small leaves, forcing each prediction to average more training samples and reducing variance.";trees regularization
"What does cost-complexity pruning aim to trade off?";"It trades training fit against tree size by removing branches whose improvement in fit does not justify their added complexity.";trees pruning
"Why can random-forest feature importance be misleading for correlated features?";"The forest can distribute split usage among correlated predictors, making each appear less important than their shared predictive signal.";ensembles random-forest
"How does a low learning rate interact with n_estimators in gradient boosting?";"A lower learning rate reduces each tree's contribution, so more trees are usually required to reach comparable training fit.";ensembles boosting
"What does n_iter_no_change do in scikit-learn gradient boosting?";"It enables early stopping by halting after a specified number of consecutive boosting iterations fail to improve validation performance.";ensembles boosting
"What is the role of validation_fraction in early-stopped gradient boosting?";"It reserves a fraction of the training data as an internal validation set used to decide whether additional trees improve performance.";ensembles boosting
"Why is histogram-based gradient boosting typically suited to large datasets?";"Its binned feature representation reduces split-search cost and memory compared with scanning all distinct continuous values for each candidate split.";ensembles histogram-gradient-boosting
"Why does high dimensionality make nearest-neighbor methods harder?";"As dimensions increase, points become sparse and distances become less discriminative, so finding genuinely close neighbors requires much more data.";dimensionality-reduction curse-of-dimensionality
"What is the distinction between projection and manifold learning for dimensionality reduction?";"Projection maps data onto a lower-dimensional flat subspace. Manifold learning seeks a lower-dimensional representation of data that lies on a curved structure in the original space.";dimensionality-reduction concepts
"Why can k-means struggle with clusters of different sizes or densities?";"Its assignment rule relies only on distance to centroids and its objective favors roughly spherical clusters with similar variance and size.";clustering kmeans
"What is an embedding in a recommendation system?";"It is a learned low-dimensional numeric vector representing a user or item so similarity or interaction scores can be computed efficiently.";recommendation embeddings
"When do dot-product and cosine similarity coincide for embeddings?";"They coincide when embeddings are normalized to unit length, because the dot product then equals the cosine of the angle between vectors.";recommendation embeddings
"What are the three common stages of a large-scale recommender system?";"Candidate generation narrows a huge corpus to a manageable set. Scoring ranks those candidates with a richer model. Re-ranking applies final constraints such as freshness, diversity, or explicit dislikes.";recommendation systems
